subject_id,event_index,marker,roi,motion_correction,hpf,baseline_m10_0,response_minus_baseline_m5_30,n_channels,diff_xdead,n_live
P08,6,M4,Right_Temporal,wavelet,0.01,-1.5723234039173246e-2,0.018475025413090911,4,0.036958798740177601,2
P08,7,M5,Left_Temporal,wavelet,0.01,0.054074244753552853,-6.857500554688803e-2,4,-0.13715650022796694,2
P08,7,M5,PFC_Frontal,wavelet,0.01,0.034165348764837601,-0.04554996709166164,13,-5.371567539705910e-2,11
P08,7,M5,Right_Temporal,wavelet,0.01,3.5157512595455891e-2,-0.053516190931209413,4,-1.07135119818050488e-1,2
P08,8,M6,Left_Temporal,wavelet,0.01,8.547957031990820e-3,2.873382535672784e-2,4,0.05830084197324676,2
P08,8,M6,PFC_Frontal,wavelet,0.01,1.2813747812390131e-2,-8.385843672038536e-3,13,-9.896073573541006e-3,11
P08,8,M6,Right_Temporal,wavelet,0.01,-5.5182431100919484e-3,5.9740767355077813e-3,4,0.01213966471836739,2
P08,9,M5,Left_Temporal,wavelet,0.01,0.11291642894642964,-1.13426130196374057e-1,4,-2.26465675654209553e-1,2
P08,9,M5,PFC_Frontal,wavelet,0.01,6.017591100785433e-3,-5.218562498428554e-3,13,-6.3717880383905468e-3,11
P08,9,M5,Right_Temporal,wavelet,0.01,-6.591024062541147e-3,-8.793072982640364e-4,4,-1.667688816704989e-3,2
P08,10,M3,Left_Temporal,wavelet,0.01,-0.083423123371290195,0.066511475827000413,4,0.13311220822076331,2
P08,10,M3,PFC_Frontal,wavelet,0.01,3.989700028950641e-3,-1.9524330961585494e-2,13,-2.2998103512371203e-2,11
P08,10,M3,Right_Temporal,wavelet,0.01,-9.295540286965271e-3,1.8029663030175910e-3,4,3.583801381289954e-3,2
P08,11,M6,Left_Temporal,wavelet,0.01,1.5670856301652243e-2,-0.053981028403677453,4,-0.10896330295523224,2
P08,11,M6,PFC_Frontal,wavelet,0.01,-8.808565331069153e-3,-1.6566104736404807e-3,13,-1.9526487277927654e-3,11
P08,11,M6,Right_Temporal,wavelet,0.01,9.677708921896280e-3,-0.0375549353575199,4,-0.075237089816580296,2
P08,12,M4,Left_Temporal,wavelet,0.01,2.33943088835324336e-2,-0.068229583870179591,4,-0.13753402342796378,2
