subject_id,channel_index,chromophore,hrf_peak_s,beta_main,beta_comfort,beta_richness
P40,12,HbO,14,-0.0014352411652638676,0.0020361858375597145,-0.0033430254987656585
P40,14,HbO,14,-0.0012070395754088326,-9.852731574092211e-5,-0.003665589504057064
P40,15,HbO,14,-3.2846075236704733e-4,0.004078959360537023,-0.003969167843988826
P40,16,HbO,14,-7.138353949746439e-4,-8.877478974570517e-4,-0.0010237191356885914
P40,17,HbO,14,2.3963191884782635e-4,1.1044512987141126e-4,-7.370864068120911e-4
P40,18,HbO,14,1.000194676853745e-6,9.343049393388988e-6,-2.9884983408199395e-6
P40,19,HbO,14,1.4804710694677207e-7,4.852745550879819e-6,-3.982149497057224e-6
P40,20,HbO,14,-5.698488074203792e-7,-7.671323443258875e-7,-1.6281630679880852e-7
P40,21,HbO,14,7.008757215856453e-7,4.009759067071941e-7,1.1026049332512776e-7
P40,22,HbO,14,-0.0023669366746425125,-0.0011992970079910323,-0.002528742327562931
P40,23,HbO,14,0.0015136689459565166,2.708380120254788e-4,-0.0013383915087867603
P40,1,HbO,17,-5.24340526364073e-4,8.287848057878715e-4,-0.006494790889178612
P40,2,HbO,17,-0.0024659424364735423,-0.00555959302876181,-0.004889145718800188
P40,3,HbO,17,8.668786059645156e-5,0.0014891944988087921,-0.005520348093022819
P40,4,HbO,17,1.8917101419893814e-5,4.33739278252156e-4,0.001563646101621383
P40,5,HbO,17,-1.294829340146063e-4,0.004361494031967078,-0.0031240136457752607
P40,7,HbO,17,-3.212400239660006e-4,0.0012520886636451616,-8.772686168475984e-4
P40,8,HbO,17,-1.521839636945996e-4,9.86612508348265e-4,5.538193777988873e-4
P40,9,HbO,17,-0.001312838050157765,0.0029940340503010776,0.003539107059642443
P40,10,HbO,17,-5.254153372770202e-4,0.0014501342795769524,-0.004892933564667019
P40,11,HbO,17,-2.613586275020034e-5,0.0016143616595515737,1.3348126058319927e-4
P40,12,HbO,17,-0.0017047683367421562,3.888181477964749e-4,-0.0032545745208478597
P40,14,HbO,17,-8.922979090596553e-4,1.0349403166037096e-4,-0.00279841806841746
P40,15,HbO,17,-2.0256225157836604e-4,0.00471462435180611,-0.0033744734698277646
P40,16,HbO,17,-6.480212006382807e-4,-5.266760494449234e-4,-8.47848169215223e-4
P40,17,HbO,17,1.5047692472857234e-4,2.043690964873527e-4,-4.193005778333005e-4
