time_s,intensity_760nm,intensity_850nm
681.0000,0.60370791,1
682.0000,0.60565364,1
683.0000,0.61076063,1
684.0000,0.59894109,1
685.0000,0.60229272,1
686.0000,0.60883993,1
687.0000,0.61034608,1
688.0000,0.60160202,1
689.0000,0.60116678,1
690.0000,0.60278541,1
691.0000,0.6085456,1
692.0000,0.60666019,1
693.0000,0.60138303,1
694.0000,0.60167193,1
695.0000,0.60676199,1
696.0000,0.59950536,1
697.0000,0.59755516,1
698.0000,0.59781414,1
699.0000,0.60320979,1
700.0000,0.60322648,1
701.0000,0.60175067,1
702.0000,0.60135597,1
703.0000,0.60572058,1
704.0000,0.61162055,1
705.0000,0.61260951,1
706.0000,0.60358274,1
707.0000,0.60295045,1
708.0000,0.60494953,1
709.0000,0.60446388,1
710.0000,0.60815579,1
711.0000,0.61195296,1
712.0000,0.60576969,1
713.0000,0.59651524,1
714.0000,0.59588552,1
715.0000,0.59515464,1
716.0000,0.59941792,1
717.0000,0.59038723,1
718.0000,0.58789438,1
719.0000,0.58937126,1
720.0000,0.59406596,1
721.0000,0.5997979,1
722.0000,0.60566199,1
723.0000,0.60626906,1
724.0000,0.59437215,1
725.0000,0.59561849,1
726.0000,0.59585875,1
727.0000,0.60051662,1
728.0000,0.59112108,1
729.0000,0.59232163,1
730.0000,0.59307152,1
731.0000,0.59911442,1
732.0000,0.6055131,1
733.0000,0.596798,1
734.0000,0.59575951,1
735.0000,0.59704238,1
736.0000,0.60211354,1
737.0000,0.60235661,1
738.0000,0.59487158,1
739.0000,0.58957934,1
740.0000,0.58914971,1
741.0000,0.59330976,1
742.0000,0.59911758,1
743.0000,0.60102063,1
744.0000,0.60714918,1
745.0000,0.61095977,1
746.0000,0.60179955,1
747.0000,0.60121572,1
748.0000,0.60381961,1
749.0000,0.60898465,1
750.0000,0.6099081,1
751.0000,0.60561454,1
752.0000,0.60202879,1
753.0000,0.60143048,1
754.0000,0.60384184,1
755.0000,0.60946661,1
756.0000,0.61285263,1
757.0000,0.60367465,1
758.0000,0.60613495,1
759.0000,0.60794759,1
760.0000,0.61423784,1
761.0000,0.60873264,1
762.0000,0.60992736,1
763.0000,0.60985488,1
764.0000,0.61456531,1
765.0000,0.61117268,1
766.0000,0.60774308,1
767.0000,0.60912186,1
768.0000,0.61397707,1
769.0000,0.61622429,1
770.0000,0.61309081,1
771.0000,0.61267632,1
772.0000,0.6134761,1
773.0000,0.61907482,1
774.0000,0.6257515,1
775.0000,0.62318105,1
776.0000,0.61545753,1
777.0000,0.61795169,1
778.0000,0.6181646,1
779.0000,0.62319243,1
780.0000,0.61267453,1
781.0000,0.61283576,1
782.0000,0.61624384,1
783.0000,0.62172276,1
784.0000,0.62401658,1
785.0000,0.61220253,1
786.0000,0.61436802,1
787.0000,0.61515403,1
788.0000,0.6207723,1
789.0000,0.6087811,1
790.0000,0.60879529,1
791.0000,0.61160439,1
792.0000,0.61647028,1
793.0000,0.61739814,1
794.0000,0.60642922,1
795.0000,0.60950094,1
796.0000,0.61162311,1
797.0000,0.6189096,1
798.0000,0.60970533,1
799.0000,0.60964048,1
800.0000,0.61149085,1
801.0000,0.6173721,1
802.0000,0.61855543,1
803.0000,0.60896665,1
804.0000,0.61100721,1
805.0000,0.61319828,1
806.0000,0.61953783,1
807.0000,0.61108971,1
808.0000,0.61194599,1
809.0000,0.61604953,1
810.0000,0.62306929,1
811.0000,0.6171754,1
812.0000,0.61326689,1
813.0000,0.60129559,1
814.0000,0.57473469,1
815.0000,0.59603995,1
816.0000,0.59387159,1
817.0000,0.58789647,1
818.0000,0.58744776,1
819.0000,0.58783841,1
820.0000,0.59958255,1
821.0000,0.59605348,1
822.0000,0.60484767,1
823.0000,0.60392851,1
824.0000,0.60006636,1
825.0000,0.60826761,1
826.0000,0.59570402,1
827.0000,0.5986765,1
828.0000,0.588404,1
829.0000,0.58350497,1
830.0000,0.58129781,1
831.0000,0.58282202,1
832.0000,0.57509309,1
833.0000,0.58508706,1
834.0000,0.57352787,1
835.0000,0.57082289,1
836.0000,0.58031142,1
837.0000,0.57684374,1
838.0000,0.57231408,1
839.0000,0.5882743,1
840.0000,0.59757322,1
841.0000,0.58952588,1
842.0000,0.59846848,1
843.0000,0.60940713,1
844.0000,0.61032802,1
845.0000,0.60163569,1
846.0000,0.60782176,1
847.0000,0.61339021,1
848.0000,0.60343486,1
849.0000,0.60319012,1
850.0000,0.60836744,1
851.0000,0.61101967,1
852.0000,0.61373621,1
853.0000,0.60916764,1
854.0000,0.61345154,1
855.0000,0.61446899,1
856.0000,0.61941141,1
857.0000,0.61837095,1
858.0000,0.61581016,1
859.0000,0.61181301,1
860.0000,0.61446774,1
861.0000,0.61568958,1
862.0000,0.62170404,1
863.0000,0.62615204,1
864.0000,0.6159156,1
865.0000,0.61446512,1
866.0000,0.61481941,1
867.0000,0.61831445,1
868.0000,0.6185025,1
869.0000,0.60887223,1
870.0000,0.6116845,1
871.0000,0.6176703,1
872.0000,0.62020278,1
873.0000,0.61338937,1
874.0000,0.61629277,1
875.0000,0.61760807,1
876.0000,0.62283897,1
877.0000,0.61456656,1
878.0000,0.61572671,1
879.0000,0.61644518,1
880.0000,0.62239653,1
881.0000,0.61543256,1
882.0000,0.61503577,1
883.0000,0.61720037,1
884.0000,0.61784732,1
885.0000,0.62323284,1
886.0000,0.61585963,1
887.0000,0.61542678,1
888.0000,0.61541009,1
889.0000,0.61878002,1
890.0000,0.62244302,1
891.0000,0.61420149,1
892.0000,0.61071444,1
893.0000,0.61460352,1
894.0000,0.62008959,1
895.0000,0.62250787,1
896.0000,0.61383253,1
897.0000,0.61438286,1
898.0000,0.61517352,1
899.0000,0.61966646,1
900.0000,0.62195522,1
901.0000,0.61908555,1
902.0000,0.61340475,1
