subject_id,marker,roi,motion_correction,hpf,baseline_m10_0,stim_m0_30,response_m5_30,response_minus_baseline_m5_30
P09,M5,Left_Temporal,none,0,-3.6613509508571964e-3,-1.7383238504464534e-2,-1.8908141084786110e-2,-1.5246790133928923e-2
P09,M5,PFC_Frontal,none,0,0.73206407142818752,0.21705612605461569,0.1625120046128628,-0.56955206681532489
P09,M5,Right_Temporal,none,0,1.2907089302873391e-4,-1.4743465904437163e-2,-1.5953615311071866e-2,-1.6082686204100595e-2
P09,M5,head,none,0,0.45250970515881561,0.12824870576544764,9.3962334970656041e-2,-0.35854737018815908
P09,M6,Left_Temporal,none,0,-1.2878573098976367e-2,-2.21935571026248657e-2,-2.30530458857145328e-2,-1.0174472786738154e-2
P09,M6,PFC_Frontal,none,0,4.927855900732402880e-1,0.22708430052721784,0.19738538479044379,-0.29540020528279654
P09,M6,Right_Temporal,none,0,-1.19046292871202249e-2,-2.2028645445556414e-2,-2.2646132459313182e-2,-1.0741503172192983e-2
P09,M6,head,none,0,0.30033713625751102,0.13215271888862373,1.13486347090269385e-1,-0.18685078916724188
P10,M3,Left_Temporal,none,0,0.26194862885197817,-1.4270419362081547e-2,-0.068918640477383941,-0.33086726932936217
P10,M3,PFC_Frontal,none,0,0.44894517028264902,0.01707664300587669,-0.05543316713373643,-0.50437833741638549
P10,M3,Right_Temporal,none,0,0.25510177751294894,4.237734608366320e-2,3.470794682653846e-3,-0.25163098283029511
P10,M3,head,none,0,0.37640423043495935,1.5924955522034462e-2,-0.046782026472261651,-0.42318625690722095
P10,M4,Left_Temporal,none,0,-7.683339312578183e-2,-0.33024546972268237,-0.37058549941270974,-0.29375210628692794
P10,M4,PFC_Frontal,none,0,0.26821239495678428,-1.846944307362259040e-1,-0.27668435191870583,-0.54489674687549017
P10,M4,Right_Temporal,none,0,0.095205789371947916,-0.17725099674687381,-0.2213632344170175,-0.31656902378896545
P10,M4,head,none,0,0.16953574854394576,-0.21100064121186479,-0.28403292906009925,-0.45356867760404507
P10,M5,Left_Temporal,none,0,0.27031885288062363,9.458779262894406e-2,0.063270208277002957,-2.070486446036206250e-1
P10,M5,PFC_Frontal,none,0,0.26375038794446948,-0.035127307549676301,-0.093934959318621919,-0.35768534726309142
P10,M5,Right_Temporal,none,0,2.330749517336324320e-1,2.0008306000256083e-2,-1.290771713503236e-2,-0.24598266886866479
P10,M5,head,none,0,0.25915858389214907,8.2352208143269629e-05,-0.048557357455914503,-0.30771594134806335
P10,M6,Left_Temporal,none,0,-0.15620257711387181,-0.36370403310304894,-0.39340555160341856,-2.37202974489546769e-1
P10,M6,PFC_Frontal,none,0,-1.13126636326363945e-1,-0.54760850069074463,-0.60070458104697255,-0.48757794472060861
P10,M6,Right_Temporal,none,0,-9.705060459425594e-2,-0.27940526791741649,-0.31080567354253119,-0.21375506894827523
P10,M6,head,none,0,-1.18269476146440137e-1,-0.46149274824102582,-0.50600021210449719,-0.38773073595805713
P11,M3,Left_Temporal,none,0,2.3073818532554894e-2,0.01035627485676377,8.800865411368541e-3,-1.4272953121186354e-2
P11,M3,PFC_Frontal,none,0,-1.6797476984208986e-1,-0.17760297633612543,-0.17906487099200274,-1.1090101149912878e-2
P11,M3,Right_Temporal,none,0,0.026021475272401451,1.42184471002381545e-2,1.2895488192817402e-2,-1.3125987079584051e-2
P11,M3,head,none,0,-9.4632896796540137e-2,-0.10526380021626776,-1.067170432609186160e-1,-1.2084146464378527e-2
P11,M4,Left_Temporal,none,0,-1.2535937160742895e-3,-1.3858900209010802e-2,-1.5187944235024527e-2,-1.3934350518950234e-2
P11,M4,PFC_Frontal,none,0,0.35287846090190927,0.15688108362995357,0.12633028102753635,-0.2265481798743729
P11,M4,Right_Temporal,none,0,-7.600544013133564e-3,-1.7836713730481931e-2,-1.9302722647242891e-2,-1.170217863410932e-2
P11,M4,head,none,0,0.21676206860990421,0.091079601496734525,0.071634808848995354,-0.14512725976090884
P11,M5,Left_Temporal,none,0,2.2410602622475822e-2,1.0415936977663011e-2,8.955249386016347e-3,-1.3455353236459474e-2
P11,M5,PFC_Frontal,none,0,-4.313596478991343e-1,-0.473705691847777,-0.4572998425747633,-2.5940194675629006e-2
P11,M5,Right_Temporal,none,0,0.02876370493328595,1.6934481156728262e-2,1.5660655738975375e-2,-0.01310304919431057
