subject_id,event_index,bin,bin_lo,value,n_samples,run_index,position_in_run,cycle_position
P56,12,"[5,10)",5,0.30681946613407124,1050,3,4,follows a 90-s cycle
P56,12,"[50,55)",50,-0.08547434514554474,1050,3,4,follows a 90-s cycle
P56,12,"[55,60)",55,-0.0011411930285792982,1050,3,4,follows a 90-s cycle
P56,12,"[60,65)",60,0.0069991532002190125,21,3,4,follows a 90-s cycle
P57,1,"[-10,-5)",-10,0.0076698142935944505,1050,1,1,opens a run
P57,1,"[-5,0)",-5,-0.14825997251724404,1050,1,1,opens a run
P57,1,"[0,5)",0,-0.32619160145763937,1050,1,1,opens a run
P57,1,"[10,15)",10,-0.5158146274465187,1050,1,1,opens a run
P57,1,"[15,20)",15,-0.33196727652870334,1050,1,1,opens a run
P57,1,"[20,25)",20,-0.0711867537121653,1050,1,1,opens a run
P57,1,"[25,30)",25,0.15684771983038814,1050,1,1,opens a run
P57,1,"[30,35)",30,0.34085119489156407,1050,1,1,opens a run
P57,1,"[35,40)",35,0.3076260400521419,1050,1,1,opens a run
P57,1,"[40,45)",40,0.3595992018660156,1050,1,1,opens a run
P57,1,"[45,50)",45,0.2940648735649382,1050,1,1,opens a run
P57,1,"[5,10)",5,-0.5341423424522231,1050,1,1,opens a run
P57,1,"[50,55)",50,0.14870837827621025,1050,1,1,opens a run
P57,1,"[55,60)",55,0.06042805423899622,1050,1,1,opens a run
P57,1,"[60,65)",60,0.12292240571372497,1050,1,1,opens a run
P57,1,"[65,70)",65,0.07888115000619948,1050,1,1,opens a run
P57,1,"[70,75)",70,-0.054584020813263814,1050,1,1,opens a run
P57,1,"[75,80)",75,-0.17218338984360015,1050,1,1,opens a run
P57,1,"[80,85)",80,-0.318809654463401,1050,1,1,opens a run
P57,1,"[85,90)",85,-0.3491378464232527,1050,1,1,opens a run
P57,2,"[-10,-5)",-10,-0.3252918085337394,1050,1,2,follows a 90-s cycle
P57,2,"[-5,0)",-5,-0.3516010748569796,1050,1,2,follows a 90-s cycle
P57,2,"[0,5)",0,-0.299310687365654,1050,1,2,follows a 90-s cycle
P57,2,"[10,15)",10,-0.0014426942378327333,1050,1,2,follows a 90-s cycle
P57,2,"[15,20)",15,0.07192329417973907,1050,1,2,follows a 90-s cycle
P57,2,"[20,25)",20,-0.038674810142520624,1050,1,2,follows a 90-s cycle
P57,2,"[25,30)",25,0.1232684688087069,1050,1,2,follows a 90-s cycle
P57,2,"[30,35)",30,0.08113669748554582,1050,1,2,follows a 90-s cycle
P57,2,"[35,40)",35,-0.09477477548781507,1050,1,2,follows a 90-s cycle
P57,2,"[40,45)",40,-0.04135781531551767,1050,1,2,follows a 90-s cycle
P57,2,"[45,50)",45,0.057156056495780934,1050,1,2,follows a 90-s cycle
P57,2,"[5,10)",5,-0.04940830143139931,1050,1,2,follows a 90-s cycle
P57,2,"[50,55)",50,0.2115132207844693,1050,1,2,follows a 90-s cycle
P57,2,"[55,60)",55,0.14771653687068723,1050,1,2,follows a 90-s cycle
P57,2,"[60,65)",60,0.07135465374968718,1050,1,2,follows a 90-s cycle
P57,2,"[65,70)",65,0.06003382647422505,1050,1,2,follows a 90-s cycle
P57,2,"[70,75)",70,0.12716802335437327,1050,1,2,follows a 90-s cycle
P57,2,"[75,80)",75,0.18476395946182425,1050,1,2,follows a 90-s cycle
P57,2,"[80,85)",80,0.16281572902266242,1050,1,2,follows a 90-s cycle
P57,2,"[85,90)",85,0.0536350418048995,1050,1,2,follows a 90-s cycle
P57,3,"[-10,-5)",-10,0.16129994683013257,1050,1,3,follows a 90-s cycle
P57,3,"[-5,0)",-5,0.05148766001918831,1050,1,3,follows a 90-s cycle
P57,3,"[0,5)",0,-0.03889236280955145,1050,1,3,follows a 90-s cycle
P57,3,"[10,15)",10,-0.14785460071235626,1050,1,3,follows a 90-s cycle
P57,3,"[15,20)",15,-0.30510916082882483,1050,1,3,follows a 90-s cycle
P57,3,"[20,25)",20,-0.20154941297404913,1050,1,3,follows a 90-s cycle
P57,3,"[25,30)",25,-0.18998770190799397,1050,1,3,follows a 90-s cycle
P57,3,"[30,35)",30,-0.16071160127239048,1050,1,3,follows a 90-s cycle
P57,3,"[35,40)",35,-0.11951195756092388,1050,1,3,follows a 90-s cycle
P57,3,"[40,45)",40,-0.089290621920278,1050,1,3,follows a 90-s cycle
P57,3,"[45,50)",45,-0.05242743987040612,1050,1,3,follows a 90-s cycle
P57,3,"[5,10)",5,-0.08186352767580007,1050,1,3,follows a 90-s cycle
P57,3,"[50,55)",50,0.03311857861104438,1050,1,3,follows a 90-s cycle
P57,3,"[55,60)",55,-0.032354986131982545,1050,1,3,follows a 90-s cycle
P57,3,"[60,65)",60,0.10261282549810509,1050,1,3,follows a 90-s cycle
P57,3,"[65,70)",65,0.26407271507607216,1050,1,3,follows a 90-s cycle
P57,3,"[70,75)",70,0.30150725480197715,1050,1,3,follows a 90-s cycle
P57,3,"[75,80)",75,0.31443579494771107,1050,1,3,follows a 90-s cycle
P57,3,"[80,85)",80,0.37329725474304226,1050,1,3,follows a 90-s cycle
P57,3,"[85,90)",85,0.2585938413657443,1050,1,3,follows a 90-s cycle
P57,4,"[-10,-5)",-10,0.3717597405184965,1050,1,4,follows a 90-s cycle
P57,4,"[-5,0)",-5,0.29249069118914717,1050,1,4,follows a 90-s cycle
P57,4,"[0,5)",0,0.06400444687481326,1050,1,4,follows a 90-s cycle
P57,4,"[10,15)",10,-0.20554261907165094,1050,1,4,follows a 90-s cycle
P57,4,"[15,20)",15,-0.2897353863266212,1050,1,4,follows a 90-s cycle
P57,4,"[20,25)",20,-0.2132889810641571,1050,1,4,follows a 90-s cycle
P57,4,"[25,30)",25,-0.10229303714229376,1050,1,4,follows a 90-s cycle
P57,4,"[30,35)",30,-0.06638338548568917,1050,1,4,follows a 90-s cycle
P57,4,"[35,40)",35,-0.1166183469074901,1050,1,4,follows a 90-s cycle
P57,4,"[40,45)",40,-0.195926586889317,1050,1,4,follows a 90-s cycle
P57,4,"[45,50)",45,-0.19351478950952622,1050,1,4,follows a 90-s cycle
P57,4,"[5,10)",5,-0.13753141675026204,1050,1,4,follows a 90-s cycle
P57,4,"[50,55)",50,-0.10202186061067997,1050,1,4,follows a 90-s cycle
P57,4,"[55,60)",55,0.010961006735393406,1050,1,4,follows a 90-s cycle
P57,4,"[60,65)",60,0.19066127954387563,1050,1,4,follows a 90-s cycle
P57,4,"[65,70)",65,0.11444374923549228,1050,1,4,follows a 90-s cycle
P57,4,"[70,75)",70,0.09116061424822999,1050,1,4,follows a 90-s cycle
