time_s,intensity_760nm,intensity_850nm
308.0000,0.51640117,0.72430229
309.0000,0.51686007,0.7260499
310.0000,0.52187967,0.7393145
311.0000,0.53069949,0.7631855
312.0000,0.52847004,0.75963914
313.0000,0.52744293,0.75928509
314.0000,0.52051198,0.74659026
315.0000,0.52594727,0.75672382
316.0000,0.5307644,0.76276612
317.0000,0.52925926,0.75473142
318.0000,0.53200555,0.75601393
319.0000,0.53616631,0.76180643
320.0000,0.53248096,0.75372052
321.0000,0.5228585,0.73279381
322.0000,0.51754659,0.7218641
323.0000,0.52357662,0.73175544
324.0000,0.52119315,0.72909749
325.0000,0.53279716,0.75411338
326.0000,0.53391969,0.75464159
327.0000,0.53647661,0.75852156
328.0000,0.52864182,0.74014008
329.0000,0.53077853,0.74500686
330.0000,0.52486187,0.73320788
331.0000,0.52623248,0.73333025
332.0000,0.52973133,0.73914498
333.0000,0.53433526,0.75159514
334.0000,0.5284574,0.74381751
335.0000,0.53380424,0.75508052
336.0000,0.52726632,0.74560118
337.0000,0.53411955,0.76264453
338.0000,0.54069531,0.77815205
339.0000,0.54601628,0.78729588
340.0000,0.5386672,0.76796979
341.0000,0.53311014,0.75269204
342.0000,0.53589398,0.75637525
343.0000,0.53961331,0.76354754
344.0000,0.54227996,0.76867545
345.0000,0.54651546,0.779149
346.0000,0.54670244,0.78510571
347.0000,0.54049313,0.77706367
348.0000,0.54087412,0.78274727
349.0000,0.54338712,0.79088265
350.0000,0.54491252,0.79692543
351.0000,0.53798753,0.78174198
352.0000,0.54809409,0.797369
353.0000,0.55045909,0.80146545
354.0000,0.55433345,0.81112236
355.0000,0.54437363,0.79162824
356.0000,0.54366225,0.79247534
357.0000,0.54818678,0.8008219
358.0000,0.54220527,0.78812927
359.0000,0.55256635,0.81642216
360.0000,0.54372901,0.80708289
361.0000,0.54893035,0.8218261
362.0000,0.55288881,0.82832181
363.0000,0.55613303,0.83033562
364.0000,0.5473761,0.80764079
365.0000,0.54613292,0.80169463
366.0000,0.54900318,0.80433577
367.0000,0.55403042,0.80735141
368.0000,0.55582845,0.80878478
369.0000,0.53872442,0.77998376
370.0000,0.54467535,0.78138721
371.0000,0.55600786,0.806678
372.0000,0.54627728,0.79221702
373.0000,0.54096872,0.78655285
374.0000,0.54484677,0.79816037
375.0000,0.54322618,0.79861563
376.0000,0.54617202,0.80866307
377.0000,0.54721761,0.81532037
378.0000,0.53304791,0.78644723
379.0000,0.53304404,0.7812354
380.0000,0.53487384,0.78160292
381.0000,0.53629917,0.78235155
382.0000,0.53297424,0.77113038
383.0000,0.51540852,0.72812343
384.0000,0.51450825,0.71820033
385.0000,0.5184176,0.72253412
386.0000,0.52490288,0.73486435
387.0000,0.52579522,0.73943031
388.0000,0.53028572,0.75502878
389.0000,0.52029586,0.74282867
390.0000,0.52259505,0.75244933
391.0000,0.52876115,0.76401746
392.0000,0.53368956,0.76983762
393.0000,0.53448832,0.76908714
394.0000,0.52374065,0.74427366
395.0000,0.52519977,0.74689424
396.0000,0.52491206,0.73882276
397.0000,0.53161526,0.74833351
398.0000,0.54087925,0.76706368
399.0000,0.54328686,0.77532738
400.0000,0.55529374,0.79398608
401.0000,0.55667394,0.80140823
402.0000,0.55701673,0.80370653
403.0000,0.54098415,0.76821858
404.0000,0.54338533,0.76842046
405.0000,0.54850715,0.77934283
406.0000,0.54955083,0.78510445
407.0000,0.55609649,0.80068582
408.0000,0.5440374,0.77908057
409.0000,0.54510474,0.77633542
410.0000,0.54081112,0.76684904
411.0000,0.54902738,0.78354555
412.0000,0.55309016,0.79629952
413.0000,0.54815954,0.78882647
414.0000,0.54991108,0.79593164
415.0000,0.53852522,0.77925366
416.0000,0.54203743,0.78678948
417.0000,0.54980302,0.79832798
418.0000,0.55354887,0.80570507
419.0000,0.56076211,0.82725185
420.0000,0.56705111,0.84792334
421.0000,0.56117713,0.83570111
422.0000,0.55761909,0.82597411
423.0000,0.56602752,0.84018177
424.0000,0.56377447,0.83850676
425.0000,0.55967253,0.83321625
426.0000,0.56497681,0.84853584
427.0000,0.55427319,0.82420939
428.0000,0.55796182,0.825082
429.0000,0.56462318,0.83555228
430.0000,0.56679958,0.84047949
431.0000,0.55890507,0.82318854
432.0000,0.55919325,0.81531131
433.0000,0.56575108,0.82635891
434.0000,0.57055241,0.8344062
435.0000,0.56683779,0.82839334
436.0000,0.57324445,0.84642047
437.0000,0.58087027,0.86897302
438.0000,0.57959449,0.87303579
439.0000,0.56613696,0.84684432
440.0000,0.5712415,0.85923165
441.0000,0.57169062,0.86346996
442.0000,0.56319928,0.85335654
443.0000,0.56170899,0.85544932
444.0000,0.56459105,0.85895824
445.0000,0.5726524,0.86905378
446.0000,0.57539403,0.872338
447.0000,0.56577915,0.85176218
448.0000,0.56752163,0.85359377
449.0000,0.57040083,0.85217118
450.0000,0.57156956,0.84662622
451.0000,0.57178319,0.84186304
452.0000,0.55981374,0.8140136
453.0000,0.5610438,0.81521797
454.0000,0.56299406,0.81852865
455.0000,0.57143086,0.83636367
456.0000,0.56373256,0.82404238
457.0000,0.56648564,0.83206248
458.0000,0.57244599,0.84544891
459.0000,0.57119483,0.84412855
460.0000,0.56961048,0.84402847
461.0000,0.56100863,0.82956153
462.0000,0.56517023,0.83756137
463.0000,0.56818438,0.83980495
464.0000,0.56656122,0.83110166
465.0000,0.55713046,0.80823267
466.0000,0.5551458,0.8004958
467.0000,0.55686367,0.80224234
468.0000,0.56060338,0.80904996
469.0000,0.56410706,0.81734276
470.0000,0.56250757,0.81747562
471.0000,0.56576717,0.82755721
472.0000,0.55263108,0.8001501
473.0000,0.54774809,0.78787309
474.0000,0.54657108,0.78269374
475.0000,0.55096173,0.78975564
476.0000,0.55223018,0.79242742
477.0000,0.55854201,0.80475795
478.0000,0.54543489,0.77752519
479.0000,0.5446505,0.77577448
480.0000,0.55055958,0.78794426
481.0000,0.55407417,0.79775846
482.0000,0.56163794,0.81744474
483.0000,0.54682422,0.78848809
484.0000,0.54335403,0.77913123
485.0000,0.55090296,0.79211396
486.0000,0.55590618,0.80193996
487.0000,0.56072444,0.81070256
488.0000,0.55762309,0.80312949
489.0000,0.54344392,0.7799021
490.0000,0.54182488,0.78148705
491.0000,0.54309899,0.78667146
492.0000,0.54371727,0.79204774
493.0000,0.55104017,0.80786473
494.0000,0.553734,0.81666213
495.0000,0.55881917,0.8314566
496.0000,0.55612659,0.82672751
497.0000,0.54582256,0.80359322
498.0000,0.5477643,0.80586833
499.0000,0.55295062,0.81427872
500.0000,0.55212033,0.81029278
501.0000,0.55450678,0.81594849
502.0000,0.55794603,0.82648486
503.0000,0.54926109,0.81031018
504.0000,0.55326593,0.82137316
505.0000,0.54912078,0.81877279
506.0000,0.54940617,0.82252491
507.0000,0.55206668,0.82596004
508.0000,0.55647761,0.83175778
509.0000,0.5590319,0.83681685
510.0000,0.56037796,0.83913201
511.0000,0.56012338,0.8353675
512.0000,0.54837972,0.80911183
513.0000,0.5461489,0.80316341
514.0000,0.54832411,0.80882525
515.0000,0.547584,0.80960977
516.0000,0.55172485,0.82037425
517.0000,0.55012476,0.81816739
518.0000,0.54634029,0.81232274
519.0000,0.54532552,0.8061651
520.0000,0.55093372,0.81566113
521.0000,0.55688936,0.82759851
522.0000,0.55885267,0.82993621
523.0000,0.55235195,0.81535506
524.0000,0.54613715,0.80638653
525.0000,0.55039686,0.81910563
526.0000,0.54934257,0.8211078
527.0000,0.5517149,0.82784432
528.0000,0.55028272,0.82383764
529.0000,0.55525446,0.83123308
530.0000,0.55493313,0.82723695
531.0000,0.54417139,0.79722494
532.0000,0.54367203,0.79234332
533.0000,0.54773819,0.79953897
534.0000,0.55239838,0.81256962
535.0000,0.55122912,0.81424737
536.0000,0.54951984,0.81064463
537.0000,0.55143833,0.81736553
538.0000,0.54043883,0.79739958
539.0000,0.54578418,0.8051154
540.0000,0.54992014,0.80769068
541.0000,0.54961675,0.80031228
542.0000,0.53764081,0.77234882
543.0000,0.54367566,0.7812084
544.0000,0.5469532,0.78770965
545.0000,0.55158478,0.79933214
546.0000,0.55391455,0.80995208
547.0000,0.54920799,0.80581838
548.0000,0.54281354,0.79691815
549.0000,0.54509991,0.80328596
550.0000,0.5477407,0.80719692
551.0000,0.5508635,0.80705774
552.0000,0.55170792,0.80376452
553.0000,0.54987133,0.79774493
554.0000,0.54361093,0.78623384
555.0000,0.5473851,0.7938354
556.0000,0.55041611,0.80068111
557.0000,0.54904366,0.79883975
558.0000,0.55280608,0.8112455
559.0000,0.5459922,0.80007637
560.0000,0.54418737,0.79791033
561.0000,0.54344827,0.79488993
562.0000,0.54756391,0.79935586
563.0000,0.55193949,0.80680948
564.0000,0.54661071,0.7945202
565.0000,0.53880715,0.77682364
566.0000,0.54108721,0.77711642
567.0000,0.54439056,0.78332549
568.0000,0.54367858,0.78529918
569.0000,0.53946042,0.78011334
570.0000,0.531582,0.76543927
571.0000,0.53622603,0.77308279
572.0000,0.53827393,0.77863353
573.0000,0.54676467,0.79808104
574.0000,0.55205709,0.8083061
575.0000,0.53905487,0.78009737
576.0000,0.54220176,0.78696358
577.0000,0.54674006,0.79700732
578.0000,0.55033344,0.8031382
579.0000,0.54784691,0.79795396
580.0000,0.54784894,0.79715222
581.0000,0.53746587,0.77599376
582.0000,0.53808057,0.77540946
583.0000,0.54468983,0.78918213
584.0000,0.55266625,0.80925351
585.0000,0.555206,0.81938851
586.0000,0.54383761,0.79539347
587.0000,0.54348856,0.78787404
588.0000,0.54608917,0.79147863
589.0000,0.55449432,0.80813909
590.0000,0.54316163,0.78355163
591.0000,0.54487795,0.78512824
592.0000,0.54643387,0.79023004
593.0000,0.55377281,0.81176615
594.0000,0.56190979,0.84033507
595.0000,0.55531669,0.83206403
596.0000,0.54612947,0.81838554
597.0000,0.54792857,0.82309669
598.0000,0.55527931,0.84147382
599.0000,0.56111944,0.8585822
